Assembly	contigs
# contigs (>= 0 bp)	2727
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	87505
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2727
Largest contig	201
Total length	87505
Reference length	64302
GC (%)	37.49
Reference GC (%)	37.76
N50	29
NG50	29
N75	29
NG75	29
L50	1219
LG50	819
L75	1973
LG75	1373
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	2668 + 0 part
Unaligned length	81683
Genome fraction (%)	8.990
Duplication ratio	1.007
# N's per 100 kbp	0.00
# mismatches per 100 kbp	51.89
# indels per 100 kbp	17.30
Largest alignment	196
Total aligned length	5783
NGA50	-
