All statistics are based on contigs of size >= 40 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs     
# contigs (>= 0 bp)          2727        
# contigs (>= 1000 bp)       0           
# contigs (>= 5000 bp)       0           
# contigs (>= 10000 bp)      0           
# contigs (>= 25000 bp)      0           
# contigs (>= 50000 bp)      0           
Total length (>= 0 bp)       87505       
Total length (>= 1000 bp)    0           
Total length (>= 5000 bp)    0           
Total length (>= 10000 bp)   0           
Total length (>= 25000 bp)   0           
Total length (>= 50000 bp)   0           
# contigs                    217         
Largest contig               201         
Total length                 13670       
Reference length             64302       
GC (%)                       38.01       
Reference GC (%)             37.76       
N50                          62          
N75                          46          
L50                          74          
L75                          138         
# misassemblies              0           
# misassembled contigs       0           
Misassembled contigs length  0           
# local misassemblies        0           
# scaffold gap ext. mis.     0           
# scaffold gap loc. mis.     0           
# unaligned mis. contigs     0           
# unaligned contigs          158 + 0 part
Unaligned length             7848        
Genome fraction (%)          8.990       
Duplication ratio            1.007       
# N's per 100 kbp            0.00        
# mismatches per 100 kbp     51.89       
# indels per 100 kbp         17.30       
Largest alignment            196         
Total aligned length         5783        
NGA50                        -           
